Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
6-4-4,18,292,1640,1348,2.0,6.0,4.616438356164384,0.8754794383913796,0.7664642470460855
6-4-4,19,292,1790,1498,2.0,8.0,5.130136986301372,1.486543067135499,2.2098102904486168
6-4-4,2,292,1625,1333,2.0,6.0,4.565068493150686,0.861078398891919,0.7414560090382707
6-4-4,20,292,1622,1330,2.0,6.0,4.554794520547945,0.7954408051336015,0.6327260744715921
6-4-4,21,292,1625,1333,3.0,6.0,4.565068493150686,0.8610783988919186,0.7414560090382701
6-4-4,22,292,1634,1342,3.0,6.0,4.595890410958904,0.7827940715128762,0.6127665583957058
6-4-4,23,292,1724,1432,2.0,8.0,4.904109589041096,1.3099081425431598,1.7158593419008707
6-4-4,24,292,1676,1384,3.0,7.0,4.739726027397261,1.0258165435585747,1.0522995810384612
6-4-4,25,292,1640,1348,3.0,6.0,4.616438356164385,0.9213785724935285,0.8489384738502124
6-4-4,26,292,1604,1312,3.0,6.0,4.493150684931507,0.7437859439923766,0.5532175304806308
6-4-4,27,292,1628,1336,3.0,6.0,4.575342465753425,0.8023643449879793,0.6437885421079891
6-4-4,28,292,1628,1336,2.0,6.0,4.575342465753424,0.7894111637207557,0.6231699854069578
6-4-4,29,292,1646,1354,3.0,6.0,4.636986301369863,0.9147897960437273,0.8368403709457243
6-4-4,3,292,1658,1366,3.0,6.0,4.678082191780821,0.9447626040974645,0.8925763781010224
6-4-4,30,292,1625,1333,2.0,6.0,4.565068493150685,0.8117769288629412,0.6589817822341486
6-4-4,31,292,1694,1402,2.0,8.0,4.8013698630137,1.1876793799113665,1.4105823094666483
6-4-4,32,292,1592,1300,2.0,5.0,4.4520547945205475,0.6483623756689781,0.4203737701831211
6-4-4,33,292,1742,1450,3.0,7.0,4.965753424657533,1.2402991744270613,1.53834204208445
6-4-4,34,292,1748,1456,2.0,7.0,4.986301369863014,1.2949083549408822,1.6767876476957015
6-4-4,35,292,1643,1351,3.0,6.0,4.626712328767123,0.8779694705328224,0.7708303911876845
6-4-4,36,292,1616,1324,3.0,6.0,4.534246575342467,0.8136666284730109,0.6620533822906366
6-4-4,37,292,1595,1303,3.0,5.0,4.462328767123288,0.6698864253082151,0.44874782281221876
6-4-4,38,292,1598,1306,3.0,6.0,4.472602739726026,0.7615791649328534,0.5800028244598223
6-4-4,39,292,1697,1405,3.0,7.0,4.811643835616439,1.0787551865164289,1.163712752436095
6-4-4,4,292,1658,1366,2.0,6.0,4.678082191780822,0.9663402565882703,0.9338134915030841
6-4-4,40,292,1688,1396,2.0,6.0,4.78082191780822,0.9342152241406906,0.8727580850162407
6-4-4,41,292,1661,1369,2.0,7.0,4.688356164383561,1.0198045951210024,1.0400014122299117
6-4-4,42,292,1646,1354,2.0,6.0,4.636986301369863,0.8803321537025849,0.7749847008426315
6-4-4,43,292,1661,1369,3.0,6.0,4.688356164383561,0.9679404055647012,0.9369086287247581
6-4-4,44,292,1601,1309,3.0,6.0,4.482876712328767,0.7248992904614348,0.5254789813114915
6-4-4,45,292,1598,1306,3.0,6.0,4.472602739726027,0.7340066151321539,0.5387657110577619
6-4-4,46,292,1745,1453,3.0,7.0,4.976027397260274,1.2800775746746584,1.6385985971849557
6-4-4,47,292,1661,1369,2.0,7.0,4.688356164383561,0.9785331805441175,0.9575271854257865
6-4-4,48,292,1694,1402,3.0,7.0,4.8013698630137,1.1701902392622274,1.369345196064589
6-4-4,49,292,1646,1354,2.0,6.0,4.636986301369863,0.868542540202609,0.7543661441416006
6-4-4,5,292,1604,1312,3.0,6.0,4.493150684931507,0.7973028015031385,0.635691757284753
6-4-4,50,292,1646,1354,2.0,7.0,4.636986301369863,0.958808947470687,0.9193145977498466
6-4-4,51,292,1667,1375,2.0,7.0,4.7089041095890405,1.0225244169276793,1.0455561832132905
6-4-4,52,292,1661,1369,3.0,7.0,4.688356164383561,1.1436969219785973,1.3080426493433175
6-4-4,53,292,1658,1366,3.0,6.0,4.678082191780821,0.9447626040974648,0.892576378101023
6-4-4,54,292,1634,1342,2.0,6.0,4.595890410958904,0.8581829050976791,0.7364778986018922
6-4-4,55,292,1565,1273,3.0,6.0,4.359589041095891,0.6507810551446331,0.42351598173516203
6-4-4,56,292,1763,1471,3.0,7.0,5.037671232876713,1.2553468003445292,1.5758955891352473
6-4-4,57,292,1652,1360,2.0,7.0,4.657534246575342,1.0149288138115544,1.030080497104929
6-4-4,58,292,1649,1357,3.0,6.0,4.647260273972603,0.9608626712065232,0.9232570729181352
6-4-4,59,292,1943,1651,2.0,8.0,5.654109589041096,1.7449633642538585,3.044897142588144
6-4-4,6,292,1592,1300,3.0,5.0,4.4520547945205475,0.6640725313428886,0.4409923268841518
6-4-4,60,292,1637,1345,3.0,6.0,4.6061643835616435,0.8609690538670949,0.7412677117168006
6-4-4,61,292,1694,1402,2.0,7.0,4.801369863013699,1.1344033538651337,1.2868709692604638
6-4-4,62,292,1895,1603,3.0,8.0,5.489726027397261,1.6775956224452293,2.8143270724473965
6-4-4,63,292,1580,1288,2.0,5.0,4.410958904109589,0.6222808382107656,0.387233441604293
6-4-4,64,292,1697,1405,3.0,7.0,4.811643835616438,1.0691558332324913,1.1430941957350627
6-4-4,65,292,1736,1444,2.0,8.0,4.945205479452054,1.2750894957758523,1.625853222237917
6-4-4,67,292,1610,1318,3.0,6.0,4.513698630136986,0.8057892024351014,0.6492962387609968
6-4-4,68,292,1625,1333,3.0,6.0,4.565068493150685,0.7727393558833774,0.5971261121310569
6-4-4,69,292,1607,1315,2.0,7.0,4.5034246575342465,0.8515128549060978,0.7250741420703333
6-4-4,7,292,1622,1330,3.0,6.0,4.554794520547945,0.9271085147828866,0.8595301981829299
6-4-4,70,292,1622,1330,2.0,6.0,4.554794520547945,0.8082973655608592,0.6533446311726253
6-4-4,71,292,1754,1462,3.0,7.0,5.006849315068493,1.2435210807408754,1.5463446782469548
6-4-4,72,292,1739,1447,2.0,7.0,4.955479452054794,1.1642162280664055,1.3553994256931687
6-4-4,73,292,1658,1366,3.0,6.0,4.678082191780822,0.9447626040974647,0.8925763781010229
6-4-4,74,292,1625,1333,2.0,6.0,4.565068493150686,0.8117769288629403,0.6589817822341473
6-4-4,75,292,1625,1333,3.0,6.0,4.565068493150685,0.8490214675361522,0.7208374523372414
6-4-4,76,292,1628,1336,2.0,6.0,4.575342465753424,0.840026316380077,0.7056442122110812
6-4-4,77,292,1601,1309,2.0,6.0,4.482876712328767,0.7105353084896342,0.5048604246104597
6-4-4,78,292,1715,1423,3.0,7.0,4.8732876712328785,1.187436587325674,1.410005648919643
6-4-4,79,292,1637,1345,2.0,6.0,4.6061643835616435,0.8489105695040962,0.7206491550157689
6-4-4,8,292,1703,1411,2.0,8.0,4.832191780821918,1.2223258170210847,1.494080402956262
6-4-4,80,292,1736,1444,3.0,7.0,4.945205479452054,1.2171784278940785,1.4815233253307005
6-4-4,81,292,1610,1318,3.0,6.0,4.513698630136986,0.7928919737643778,0.6286776820599709
6-4-4,82,292,1760,1468,2.0,8.0,5.027397260273974,1.3594278434596023,1.8480440615732252
