Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
16-4-4,65,1,86,85,85.0,85.0,85.0,0.0,0.0
16-4-4,66,1,93,92,92.0,92.0,92.0,0.0,0.0
16-4-4,67,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,68,1,74,73,73.0,73.0,73.0,0.0,0.0
16-4-4,69,1,102,101,101.0,101.0,101.0,0.0,0.0
16-4-4,7,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,70,1,92,91,91.0,91.0,91.0,0.0,0.0
16-4-4,71,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,72,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,73,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,74,1,91,90,90.0,90.0,90.0,0.0,0.0
16-4-4,75,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,76,1,82,81,81.0,81.0,81.0,0.0,0.0
16-4-4,77,1,82,81,81.0,81.0,81.0,0.0,0.0
16-4-4,78,1,93,92,92.0,92.0,92.0,0.0,0.0
16-4-4,79,1,81,80,80.0,80.0,80.0,0.0,0.0
16-4-4,8,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,80,1,94,93,93.0,93.0,93.0,0.0,0.0
16-4-4,81,1,90,89,89.0,89.0,89.0,0.0,0.0
16-4-4,82,1,78,77,77.0,77.0,77.0,0.0,0.0
16-4-4,83,1,85,84,84.0,84.0,84.0,0.0,0.0
16-4-4,84,1,80,79,79.0,79.0,79.0,0.0,0.0
16-4-4,85,1,78,77,77.0,77.0,77.0,0.0,0.0
16-4-4,86,1,88,87,87.0,87.0,87.0,0.0,0.0
16-4-4,87,1,102,101,101.0,101.0,101.0,0.0,0.0
16-4-4,88,1,100,99,99.0,99.0,99.0,0.0,0.0
16-4-4,89,1,87,86,86.0,86.0,86.0,0.0,0.0
16-4-4,9,1,84,83,83.0,83.0,83.0,0.0,0.0
16-4-4,90,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,91,1,89,88,88.0,88.0,88.0,0.0,0.0
16-4-4,92,1,83,82,82.0,82.0,82.0,0.0,0.0
16-4-4,93,1,96,95,95.0,95.0,95.0,0.0,0.0
