Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
16-4-4,97,1,390,389,389.0,389.0,389.0,0.0,0.0
16-4-4,98,1,471,470,470.0,470.0,470.0,0.0,0.0
16-4-4,99,1,293,292,292.0,292.0,292.0,0.0,0.0
18-4-4,1,1,697,696,696.0,696.0,696.0,0.0,0.0
18-4-4,10,1,539,538,538.0,538.0,538.0,0.0,0.0
18-4-4,100,1,301,300,300.0,300.0,300.0,0.0,0.0
18-4-4,11,1,397,396,396.0,396.0,396.0,0.0,0.0
18-4-4,12,1,300,299,299.0,299.0,299.0,0.0,0.0
18-4-4,13,1,314,313,313.0,313.0,313.0,0.0,0.0
18-4-4,14,1,488,487,487.0,487.0,487.0,0.0,0.0
