Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score			
16-4-4	84	154208	6839	147369	4%			
16-4-4	85	154208	5017	149191	3%			
16-4-4	86	154208	1568	152640	1%			
16-4-4	87	154208	3294	150914	2%			
16-4-4	88	154208	3370	150838	2%			
16-4-4	89	154208	1568	152640	1%			
16-4-4	9	154208	10464	143744	7%			
16-4-4	90	154208	3294	150914	2%			
16-4-4	91	154208	3294	150914	2%			
16-4-4	92	154208	1568	152640	1%			
16-4-4	93	154208	3294	150914	2%			
16-4-4	94	154208	4765	149443	3%			
16-4-4	95	154208	3294	150914	2%			
16-4-4	96	154208	11956	142252	8%			
16-4-4	97	154208	4765	149443	3%			
16-4-4	98	154208	7988	146220	5%			
16-4-4	99	154208	1568	152640	1%			
18-4-4	1	154208	6839	147369	4%			
18-4-4	10	154208	1568	152640	1%			
18-4-4	100	154208	3294	150914	2%			
18-4-4	11	154208	8313	145895	5%			
18-4-4	12	154208	1568	152640	1%			
18-4-4	13	154208	3294	150914	2%			
18-4-4	14	154208	3294	150914	2%			
18-4-4	15	154208	3294	150914	2%			
18-4-4	16	154208	3294	150914	2%			
18-4-4	17	154208	3294	150914	2%			
18-4-4	18	154208	5028	149180	3%			
18-4-4	19	154208	1568	152640	1%			
18-4-4	2	154208	4531	149677	3%			
18-4-4	20	154208	15590	138618	10%			
18-4-4	21	154208	6838	147370	4%			
18-4-4	22	154208	3294	150914	2%			
18-4-4	23	154208	1568	152640	1%			
18-4-4	24	154208	1568	152640	1%			
18-4-4	25	154208	12070	142138	8%			
18-4-4	26	154208	3294	150914	2%			
18-4-4	27	154208	1568	152640	1%			
18-4-4	28	154208	3294	150914	2%			
18-4-4	29	154208	6839	147369	4%			
18-4-4	3	154208	1568	152640	1%			
18-4-4	30	154208	3294	150914	2%			
18-4-4	31	154208	9389	144819	6%			
18-4-4	32	154208	6922	147286	4%			
18-4-4	33	154208	1568	152640	1%			
18-4-4	34	154208	3294	150914	2%			
18-4-4	35	154208	6179	148029	4%			
18-4-4	36	154208	1568	152640	1%			
18-4-4	38	154208	1568	152640	1%			
18-4-4	39	154208	3370	150838	2%			
18-4-4	4	154208	1568	152640	1%			
18-4-4	40	154208	6839	147369	4%			
18-4-4	42	154208	1568	152640	1%			
18-4-4	43	154208	1568	152640	1%			
18-4-4	44	154208	8569	145639	6%			
18-4-4	45	154208	1568	152640	1%			
18-4-4	46	154208	8560	145648	6%			
18-4-4	47	154208	3294	150914	2%			
