Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
14-4-4,3,15,568,553,8.0,56.0,36.86666666666667,16.851734402753692,283.9809523809523
14-4-4,30,16,658,642,33.0,45.0,40.125,4.145278438577237,17.183333333333334
14-4-4,31,17,478,461,7.0,43.0,27.11764705882353,14.52963503043511,211.11029411764707
14-4-4,32,20,577,557,18.0,39.0,27.85,7.1323945930927675,50.87105263157895
14-4-4,33,18,581,563,21.0,41.0,31.27777777777778,6.883958809354461,47.388888888888886
14-4-4,34,8,393,385,37.0,56.0,48.125,6.998724373565718,48.982142857142854
14-4-4,35,10,518,508,40.0,57.0,50.8,6.303438215238833,39.73333333333333
14-4-4,36,14,533,519,17.0,48.0,37.07142857142857,10.087801359252484,101.76373626373626
14-4-4,37,23,643,620,14.0,35.0,26.956521739130434,6.477080296704718,41.952569169960476
14-4-4,38,17,647,630,24.0,45.0,37.05882352941177,8.011480732636867,64.18382352941177
14-4-4,39,14,566,552,15.0,51.0,39.42857142857143,11.71267745593693,137.1868131868132
14-4-4,4,14,507,493,6.0,48.0,35.214285714285715,15.368191783073202,236.18131868131871
14-4-4,40,19,704,685,25.0,45.0,36.05263157894737,6.891812245221994,47.49707602339181
14-4-4,41,15,625,610,28.0,48.0,40.666666666666664,6.432802840205223,41.38095238095239
14-4-4,42,9,343,334,10.0,53.0,37.111111111111114,16.966470201874966,287.8611111111111
14-4-4,43,12,442,430,30.0,41.0,35.833333333333336,3.7376057804023377,13.969696969696969
14-4-4,44,12,560,548,32.0,59.0,45.666666666666664,8.689945426477172,75.5151515151515
14-4-4,45,12,431,419,4.0,51.0,34.916666666666664,19.2186383650367,369.35606060606057
14-4-4,46,10,446,436,40.0,47.0,43.6,2.065591117977289,4.266666666666667
14-4-4,47,15,545,530,12.0,46.0,35.333333333333336,8.715066319448232,75.95238095238095
14-4-4,48,14,547,533,23.0,48.0,38.07142857142857,9.32708451202762,86.9945054945055
14-4-4,49,12,381,369,5.0,50.0,30.75,17.828093254493286,317.84090909090907
14-4-4,5,16,690,674,23.0,52.0,42.125,9.728823155962905,94.65
14-4-4,50,13,560,547,19.0,48.0,42.07692307692308,7.331001960413716,53.743589743589745
14-4-4,51,19,628,609,14.0,39.0,32.05263157894737,8.598925541475298,73.94152046783626
14-4-4,52,11,502,491,32.0,60.0,44.63636363636363,8.139689518313672,66.25454545454545
14-4-4,53,14,580,566,6.0,53.0,40.42857142857143,15.834306891218029,250.72527472527474
14-4-4,54,10,368,358,16.0,52.0,35.8,13.019643278950122,169.5111111111111
14-4-4,55,9,389,380,21.0,60.0,42.22222222222222,13.112758841847297,171.94444444444446
14-4-4,56,12,461,449,15.0,43.0,37.416666666666664,8.16264588713659,66.62878787878789
14-4-4,57,12,541,529,26.0,52.0,44.083333333333336,9.080031370924315,82.4469696969697
14-4-4,58,10,555,545,45.0,57.0,54.5,3.689323936863109,13.61111111111111
14-4-4,59,15,409,394,11.0,37.0,26.266666666666666,7.497301101698118,56.209523809523816
14-4-4,6,17,633,616,25.0,42.0,36.23529411764706,4.994114182774382,24.941176470588236
14-4-4,60,17,634,617,14.0,45.0,36.294117647058826,9.472095239982234,89.72058823529412
14-4-4,61,11,434,423,21.0,55.0,38.45454545454545,10.103104833303835,102.07272727272729
14-4-4,62,13,481,468,16.0,50.0,36.0,9.780933834080807,95.66666666666667
14-4-4,63,14,572,558,23.0,51.0,39.857142857142854,9.694226218632512,93.978021978022
14-4-4,64,17,514,497,19.0,43.0,29.235294117647058,8.743064478235777,76.44117647058825
14-4-4,65,13,540,527,25.0,49.0,40.53846153846154,8.402533195564544,70.6025641025641
14-4-4,66,15,507,492,15.0,42.0,32.8,8.299741820425156,68.88571428571429
14-4-4,67,16,643,627,23.0,45.0,39.1875,7.044797134528905,49.62916666666667
14-4-4,68,11,488,477,31.0,58.0,43.36363636363637,8.789456493694331,77.25454545454544
14-4-4,69,17,478,461,4.0,36.0,27.117647058823525,11.607553321766266,134.73529411764707
14-4-4,7,13,443,430,10.0,43.0,33.07692307692308,11.764788838319896,138.4102564102564
14-4-4,70,16,594,578,8.0,46.0,36.125,13.875037537486762,192.51666666666668
14-4-4,71,15,546,531,23.0,46.0,35.4,6.310988149931153,39.828571428571436
14-4-4,72,13,490,477,6.0,50.0,36.69230769230769,17.76412403030621,315.56410256410254
14-4-4,73,17,590,573,16.0,43.0,33.705882352941174,8.379772564651985,70.22058823529412
14-4-4,74,16,547,531,15.0,43.0,33.1875,7.138802420574476,50.9625
14-4-4,75,19,579,560,11.0,43.0,29.473684210526315,10.178236155055068,103.59649122807018
14-4-4,76,18,569,551,6.0,41.0,30.61111111111111,11.946640624971616,142.72222222222223
14-4-4,77,13,513,500,24.0,46.0,38.46153846153846,6.527063972611584,42.602564102564116
14-4-4,78,12,445,433,16.0,47.0,36.083333333333336,8.436482823087026,71.17424242424244
14-4-4,79,11,463,452,31.0,47.0,41.09090909090909,6.0241936465313835,36.29090909090909
